Korean,English
조심해요,Careful
지금부터,From now on
폐하,sire
만,just
미안한데,I'm sorry.
축하해,congratulations
하,And
인생,life
안전하게,safety
말하길,He says
언니가,Sister
유명한,famous
숨어,behind
로,in
밤새,Overnight
처음엔,at first
나요,It's me
잠을,Sleep
얘는,He does
오랜,long-time
최근,lately
좋죠,Bout
카레브,Carew
내말은,what I'm saying is
리처드,Richard
사람한테,A guy
학교에서,At school
달려,run
갈거야,I'm going
왼쪽,left
사실이,The fact
경우,Occation
안해,I will not
수많은,Countless
가기,Going
귀여운,cute
크리스,Kris
하니,Hani
소식을,The news
의미가,Meaning
사람과,People and
받았어요,received
됐습니다,Year
전쟁,War
손이,Hand
장난,joke
괜찮니,Are you okay
시작해,Including
아니니까,Do not
스콧,Scott
드릴까요,Would you like
마셔,drink
쿠키,cookie
보이는데,Looks
끝났어요,It's finished
방에서,In room
카라,Kara
담배,tobacco
잘하고,Well
내겐,Me
저에게,to me
파티를,The party
뿐이지,Ppunyiji
맘대로,Whatever
전해,the year before
데리러,Pick up
장,chapter
삶의,Of life
괜찮습니다,Fine
찰리,Charlie
없었다,There was no
영국,England
왔네,Newbie
필요합니다,Required
라,la
대니,Danny
이상해,Strange
매번,every time
거잖아요,You'll
보스,boss
걸세,Gonna
생각해봐,lets think
오신,Welcome
비밀을,Secrets
있긴,Although
개를,More
간다고,Going
빠르게,fast
생각합니다,I think
괜찮으세요,Are you okay
어찌,Why
오른쪽,Right side
말로,Malo
위험해,Dangerous
범인은,Shooter
가방,bag
떠나지,Leave
만들었어,I made
싶다고,Wanted
개가,a dog
뉴욕,New York
그러세요,Please
먼,distant
있는거,Itneungeo
이따,later
느낄,Feel
우와,Wow
위하여,for
열쇠,key
도시를,The city
낼,Pay
바닥에,On the floor
든,All
생각했는데,I thought
진,true
말했지,Told
가르쳐,teach
마찬가지야,Machangajiya
깊은,deep
났어,Did you
물건,stuff
금지,prohibition
살아있는,Live
또는,or
찾으면,Finds
존나,Fucking
떠나,leave
가죠,Let's go
사람들도,The people in
않았습니다,It has
파블로,Pablo
선물을,Gifts
자격이,Eligible
스스로를,Themselves
마을,Town
손으로,by hand
누나,sister
놈들을,The guys
때문이지,Because not
비슷한,Similar
없이는,Without
갑니다,going
계신,Who
아가야,HONEY
시체를,The body
데려가,Take
말해요,Tell
자가,self
옳지,Right
어릴,Childhood
듯,Seems
된다는,That
잘못이,Wrong
아시죠,You know
동시에,At the same time
안다고,Know
이동,move
음식을,food
아빠랑,Dad
전까진,Until around
고작,TT
만들지,Make
해야할,To do
준비를,Prepare
못했어요,I have not
번역,Translation
범인이,Shooter
죽이려고,Kill
수술은,Surgery
뿐,only
싶을,Want
누구나,everyone
우리랑,With us
너희들은,You guys
언제부터,Since when
누구든,Anyone
관심을,Interested
관련된,Relevant
음식,food
걸릴,Take
소릴,Talking about
왕이,The king
찾지,Find
약속,Appointment
들려요,Hear
온다,come
어떤지,Equality
보여줘,show me
생각이야,I think it's
무척,very
치프,Chief
인간이,Humans
선생,teacher
알겠죠,All right
대해선,Daehaeseon
않네요,Anneyo
개인,individual
전부터,Ago
데이비드,David
잘됐네,Good.
내려놔,Put down
놀라운,amazing
엄청나게,whopping
행동을,Behavior
위험을,The risk
연락,Communication
도,Degree
화장실,restroom
1년,1 year
사랑은,Love is
부르는,vocative
생기면,Saenggimyeon
부모님이,Parents
부인이,Mrs.
하겠습니다,I'll do it
넣어,Put
힘들어,tiring
감정을,Emotions
커다란,Great
빠진,Missing
위에서,On
진정해요,Calm down.
세상의,Worldly
싶진,Want
형님,brother
돌아오지,Come back
방을,The room
결과를,Results
있으세요,Full
않았지,Did
소식이,The news
임무를,The mission
사장님,boss
하긴,Although
하나요,I
남아,stay
듣지,Hear
신,God
오빠가,Brother
앨리슨,Alison
아내는,Wife
하자고,Let's
보안,security
맞습니다,Yes
아래로,Under
버크,Bourke
이러면,This isnt
약간의,Slightly
모르겠는데,I do not know.
대부분,mostly
없었죠,Eopeotjyo
원해요,I want
모르잖아,I do not know
미안합니다,Sorry
누구요,Who
싸우고,Fight
없군,To nourish
줬어,Told
같구나,I guess
됐네,Ferme
왔을,Came
드릴,drill
좀더,more
검사를,Checked
예전,Previous
싶습니다,I would like to
스티븐스,Stevens
이거야,IES
있겠어요,I'll be
않았을,Would
나가는,outgoing
반갑습니다,nice to meet you
아저씨가,Uncle
질,quality
기억을,Remember
돕고,Help
죽기,Death
봤을,I saw
섹스,sex
올게요,I'll
떠난,Leaving
하네요,'M
누구랑,with who
앤,And
누군가는,Somebody
아들은,Sons
바,bar
마음대로,as you please
만나게,To meet
않아서,Because
결혼을,Married
보니까,Rattling
씨는,Mr.
잃은,bereaved
그런게,Wasnt
엄만,Mam
해봐요,Try
빨간,Red
때문이죠,Because
강력한,strong
환자의,The patient
맥주,beer
아니거든,no it's not
얘기하는,To talk
중요하지,Not important
늦었어,late
남편은,Husband
크고,Larger
두번째,second
해서요,Counting
연락을,Contact
왜죠,Why
나무,tree
만세,hurray
쉐퍼드,Shepard
자유,freedom
관계를,Relationships
싸우는,Fight
거라는,Going
경찰에,The police
기다릴,To wait
이제야,Now
여자랑,Girl.Magazines
그곳에,there
치료를,Treatment
자네에게,To you
종류의,kind of
연락이,Contact this
줄까,Want
안했어,I did not
고,And
만나는,To meet
달린,With
루시,Lucy
그렇군,Right
않을까,Would
안그래,is not it
전화해서,Call
나와서,Out
지금이,Now
괜찮을거야,It will be fine
세게,Harder
이것이,this
신발,shoes
답을,Answer
팀이,The team
괜히,in vain
헤일리,Hayley
셰퍼드,Shepherd
있을지도,Iteuljido
서서,To stand
애야,Kid.
결과가,Results
해냈어,Did
했나,Have
별거,separation
러시아,Russia
아빤,Dad
알겠다,I know
밤을,Night
루시퍼,Lucifer
전화해,Call me
달리,Unlike
이야기는,Story
친한,friendly
하겠어,I am going to
어떤가,Whether
증거가,Evidence
사랑이,Love
깜짝,surprise
있었을,It was
행복해,happy
대부분의,Most of
생각한,Thought
침대,bed
넣고,Place
밑에서,Underneath
않았죠,Did
걸고,Bet
증거를,Evidence
칼을,The sword
게임을,The game
침대에,In bed
가족은,The family
봅시다,let's see
타마오,Tama five
나왔어,I'm here
거래,deal
행복하게,happily
녀석은,Guys
영혼을,The soul
삶은,Life
위험에,The risk
끝날,The end
두려워,I'm afraid
개인적인,personal
아버진,Father
저들은,They
뭡니까,What
즉,In other words
2년,2 years
미스,miss
중국,China
